BAS,Equity ForwardSPEC,Equity ForwardSPEC,Equity Forward,EqFwd_.MSCIWO_Y03_Str0.006_EUR,EqFwd_.MSCIWO_Y03_Str0.006_EUR,Equity Forward Model,USD,USD-SWAP,1095,Equity Forward,USD,0,MarketIndex_.MSCIWO,@forward settlement THEO,Cash Settlement,@maturity relative years,EUR-SWAP,EUR-SWAP,equity index Forward,N/A,,,,,,,,,,
BAS,Synthetic InstrumentSPEC,Synthetic InstrumentSPEC,Synthetic,SwP_EUR_OptY01_SwpY01_1Y_6M_Str1.0pct_Rec_s_EUR,SwP_EUR_OptY01_SwpY01_1Y_6M_Str1.0pct_Rec_s_EUR,Synthetic Model,EUR,@aggregate positions & convert cash flows,@synthetic component physical settle,Physical Settlement,Swaption_Phys,Swaption,Swap,@maturity relative days,EUR-SWAP,,,,,,,,,,,,,,,
BAS,Market IndexSPEC,Market IndexSPEC,Market Index,MarketIndex_.IBEX,MarketIndex_.IBEX,Market Index Model,EUR,EUR-SWAP,.IBEX-Index Curve,Market Index,,,,,,,,,,equity index,N/A,,,.IBEX-HistoricalRates,,,,%,continuous,actual/365
BAS,Market IndexSPEC,Market IndexSPEC,Market Index,MarketIndex_.MSCIWO,MarketIndex_.MSCIWO,Market Index Model,USD,USD-SWAP,.MSCIWO-Index Curve,Market Index,,,,,,,,,,equity index,N/A,,,.MSCIWO-HistoricalRates,,,,%,continuous,actual/365
BAS,Synthetic InstrumentSPEC,Synthetic InstrumentSPEC,Synthetic,SwP_EUR_OptY01_SwpY01_1Y_6M_Str1.0pct_Rec_s_EUR,SwP_EUR_OptY01_SwpY01_1Y_6M_Str1.0pct_Rec_s_EUR,Synthetic Model,EUR,@aggregate positions & convert cash flows,@synthetic component physical settle,Physical Settlement,Swaption_Phys,Swaption,Swap,@maturity relative days,EUR-SWAP,,,,,,,,,,,,,,,
BAS,Synthetic InstrumentSPEC,Synthetic InstrumentSPEC,Synthetic,SwP_EUR_OptY01_SwpY01_1Y_6M_Str1.0pct_Rec_s_EUR,SwP_EUR_OptY01_SwpY01_1Y_6M_Str1.0pct_Rec_s_EUR,Synthetic Model,EUR,@aggregate positions & convert cash flows,@synthetic component physical settle,Physical Settlement,Swaption_Phys,Swaption,Swap,@maturity relative days,EUR-SWAP,,,,,,,,,,,,,,,
BAS,Synthetic InstrumentSPEC,Synthetic InstrumentSPEC,Synthetic,SwP_EUR_OptY01_SwpY01_1Y_6M_Str1.0pct_Rec_s_EUR,SwP_EUR_OptY01_SwpY01_1Y_6M_Str1.0pct_Rec_s_EUR,Synthetic Model,EUR,@aggregate positions & convert cash flows,@synthetic component physical settle,Physical Settlement,Swaption_Phys,Swaption,Swap,@maturity relative days,EUR-SWAP,,,,,,,,,,,,,,,
BAS,Synthetic InstrumentSPEC,Synthetic InstrumentSPEC,Synthetic,SwP_EUR_OptY01_SwpY01_1Y_6M_Str1.0pct_Rec_s_EUR,SwP_EUR_OptY01_SwpY01_1Y_6M_Str1.0pct_Rec_s_EUR,Synthetic Model,EUR,@aggregate positions & convert cash flows,@synthetic component physical settle,Physical Settlement,Swaption_Phys,Swaption,Swap,@maturity relative days,EUR-SWAP,,,,,,,,,,,,,,,
BAS,EuropeanSPEC,EuropeanSPEC,European,EqOpt_.MSCIWO_Y03_Str1510_Call_EUR,EqOpt_.MSCIWO_Y03_Str1510_Call_EUR,European Equity Model,TRUE,1,USD,USD-SWAP,1095,Equity Option,USD,1510,MarketIndex_.MSCIWO,.MSCIWO-Volatility Surface Output,@european settlement THEO,Cash Settlement,@maturity relative years,EUR-SWAP,EUR-SWAP,equity index Option,N/A,,,,,,,
BAS,EuropeanSPEC,EuropeanSPEC,European,EqOpt_.AEX_M01_Str300_Put_EUR,EqOpt_.AEX_M01_Str300_Put_EUR,European Equity Model,FALSE,1,EUR,EUR-SWAP,30,Equity Option,EUR,300,MarketIndex_.AEX,.AEX-Volatility Surface Output,@european settlement THEO,Cash Settlement,@maturity relative years,EUR-SWAP,EUR-SWAP,equity index Option,N/A,,,,,,,
